Name,Tag Color,URL,Support URL,Warranty Lookup URL,Support Phone,Support Email,Notes
Rooxo,#9762b8,http://phoca.cz/luctus/et/ultrices/posuere.aspx,,https://jigsy.com/est/congue/elementum/in/hac/habitasse/platea.jsp,189-814-7471,eemmett0@dell.com,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
Geba,#1a4d64,http://altervista.org/morbi/quis/tortor/id/nulla/ultrices/aliquet.jpg,https://mapquest.com/suspendisse/potenti/nullam/porttitor/lacus/at/turpis.xml,https://chronoengine.com/accumsan/odio.aspx,256-946-6449,casson1@a8.net,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
Thoughtmix,,http://cnn.com/nisl/nunc/nisl/duis/bibendum/felis/sed.jpg,,http://npr.org/viverra/dapibus/nulla.js,420-280-9925,shollingdale2@independent.co.uk,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
Pixoboo,#185c63,https://pbs.org/posuere/cubilia.json,https://biblegateway.com/felis/fusce/posuere/felis.aspx,http://businessinsider.com/eget.jsp,512-275-8407,ejovovic3@unblog.fr,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
Zoomdog,,https://narod.ru/vestibulum.aspx,http://mapquest.com/sed.jsp,http://google.es/pede/posuere/nonummy/integer/non/velit.jsp,904-311-1371,jjovis4@unblog.fr,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
Skimia,#daa8fe,http://t.co/dui/proin/leo/odio.png,http://answers.com/duis/consequat/dui/nec/nisi/volutpat/eleifend.jsp,,382-973-6961,amawditt5@phpbb.com,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
Realpoint,#47c715,https://prweb.com/massa/donec/dapibus.html,http://xing.com/curae/donec/pharetra.jsp,https://bigcartel.com/iaculis/justo.jpg,434-115-0999,wpratchett6@scientificamerican.com,
Zoombeat,#7c3de3,http://google.ca/tristique/fusce/congue/diam/id.json,https://sciencedaily.com/sapien/placerat/ante/nulla/justo/aliquam.png,http://va.gov/morbi/porttitor/lorem/id/ligula/suspendisse.jpg,670-426-0509,gantrum7@huffingtonpost.com,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
Wikizz,#3ce2ef,http://toplist.cz/suspendisse/potenti/cras/in/purus.jsp,http://360.cn/sapien/sapien/non/mi.xml,http://independent.co.uk/ultrices/mattis/odio/donec/vitae/nisi/nam.jsp,285-393-9864,zstill8@amazonaws.com,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
Mynte,#f66b06,https://samsung.com/in/faucibus.json,https://google.com.br/massa/id/lobortis.jsp,https://blinklist.com/est/donec/odio/justo/sollicitudin/ut.png,214-270-5312,severill9@cmu.edu,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
