Name,Model Number,Minimum Amount,Manufacturer,Category,Require Serial,Depreciation,EOL,Notes,Fieldset,Requestable
Sharp GX17,907256155-4,67,Layo,Food - Deli,true,justo nec condimentum neque sapien,,Customer-focused,Laptops and Desktops,false
Huawei P40 Pro,053748423-X,356,Blognation,Food - Condiments,false,cras in,191,frame,Laptops and Desktops,true
alcatel OT-202,562855245-3,151,Twitterbeat,Electronics,true,mi,31,Team-oriented,Mobile Devices,false
Plum Z710,089298795-2,300,Tekfly,Food - Meat,false,tempus semper,160,Up-sized,Mobile Devices,true
vivo NEX 3S 5G,259040851-X,125,Eadel,Food - Frozen Meals,false,quis augue luctus tincidunt nulla,44,software,Laptops and Desktops,false
Asus Fonepad Note FHD6,209112897-X,304,Voolia,Food - Condiments,true,amet nunc,178,Object-based,Mobile Devices,false
ZTE Axon M,996666326-6,50,Midel,Kitchen,false,duis at velit eu,220,Ergonomic,Mobile Devices,false
Samsung T219,869365429-2,122,Skyba,Food - Breakfast,true,magna vestibulum aliquet,135,hub,Laptops and Desktops,false
Panasonic X68/X77,193470835-6,73,Devify,Pets,true,et magnis dis parturient montes,104,24 hour,Laptops and Desktops,false
verykool sl5029 Bolt Pro LTE,275088473-X,377,Oyonder,Food - Condiments,true,vehicula consequat morbi,47,,Mobile Devices,false
