Name,Manufacturer,Serial Number,Category,Purchase Cost,Purchase Date,Location,Company,Order Number,Quantity,Min Qty,Model Number,Notes,Supplier
LED Canopy Lights,Mycat,,Outdoor,35.6,2025-11-08,Bayanan,,67615810343173629,44,,145467883-6,Energy-efficient lights to illuminate outdoor areas.,Ailane
Sushi Roll Kit,,564822888-0,Food - Cooking Kits,14.16,2025-04-02,Dunkerque,Wikizz,5453761365168259,796,195,322391047-6,All ingredients needed to make your own sushi,Zoomdog
Black Olives,Dabshots,250638316-6,Food - Canned Goods,57.43,2025-01-02,Catabola,,201788616131451,924,507,770932859-8,"Sliced black olives, perfect for salads and pizzas.",Agimba
Honey Sesame Cashews,Skipstorm,120464976-6,Food - Snacks,62.21,2025-07-16,Kamojimachō-jōgejima,Ntags,6385480600480939,862,833,355655439-9,Roasted cashews coated in honey and sesame seeds for a sweet treat.,Trunyx
Pet Hair Vacuum Attachment,Voonix,240866178-1,Pets,49.04,2025-03-31,Khenifra,Twinder,3574701775386579,414,380,974757296-6,Special attachment for vacuum cleaners to remove pet hair easily.,Realmix
Smartphone Camera Lens Kit,Realbuzz,582722461-8,Photography,11.88,2025-06-16,Santo Antônio de Posse,,4041374994461707,495,,091516719-0,Upgrade your phone photography with this lens kit that includes wide-angle and macro lenses.,Quatz
Italian Herbal Seasoning,Ainyx,218112379-9,Food - Spices,96.39,2025-03-09,Nizao,Browsezoom,,278,913,060724772-X,A fragrant blend of Italian herbs for pasta sauces and marinades.,Ainyx
Stainless Steel Travel Mug,Kare,792114063-7,Kitchen,13.27,2025-06-20,Ratchasan,Trudoo,,968,785,,Insulated mug to keep drinks hot on the go.,Photobug
Mini Projector for Smartphones,Nlounge,591056305-X,Electronics,57.51,2026-01-23,Oslo,Flashset,,451,796,313502161-0,Compact and portable projector for watching videos anywhere.,Dazzlesphere
Maple Almond Granola,Brainverse,469488349-6,Food - Breakfast,21.54,2025-12-21,Khallat ad Dār,Yombu,201527826901927,483,503,273572428-X,Crunchy granola with maple flavor and almond pieces for breakfast.,Devcast
Apple Cinnamon Breakfast Muffins,Feedmix,228325377-2,Food - Bakery,17.45,2025-06-27,,Mynte,670915793217996929,127,209,883718437-9,Delicious muffins filled with apples and a hint of cinnamon for breakfast.,Mudo
Mini Indoor Herb Garden Kit,Tazzy,368698533-0,Garden,87.69,2025-05-03,Cafayate,Quimba,3540545246610278,419,,012806779-9,,Jetwire
Kettle Chip Variety Pack,Jaxbean,667963991-3,Food - Snacks,,2025-04-22,Embu,Skimia,3566171993008951,882,350,870303661-8,A crunchy collection of flavored kettle chips in a convenient pack.,Dabjam
Pasta Salad Kit,,,Food - Prepared Foods,72.69,,Itararé,Topicshots,564182746454628531,90,905,791091651-5,All-in-one kit for making pasta salad easily.,Myworks
Honey Wheat Pretzels,Realblab,,Food - Snacks,58.23,2025-06-15,Lourdes,Voomm,676768291632235622,406,13,648162379-0,Crunchy pretzel sticks made with honey and whole wheat.,Skynoodle
Coconut Cream Pie Mix,Meezzy,383179935-0,Food - Baking,82.45,2025-05-10,,Oyoyo,374288194156054,532,141,335909679-7,"Creamy, sweet pie mix to make the perfect coconut cream pie.",Jabbersphere
Over-the-Door Shoe Organizer,Aivee,,Home,,2026-01-16,Capilla del Monte,Photobug,5428533910592826,268,96,559508016-7,,Skalith
Frozen Mixed Berries,Dynazzy,842663104-5,Food - Frozen Foods,53.45,2025-10-13,Sadek,Jaloo,560221613000820361,557,170,276782870-6,"A mix of strawberries, blueberries, and raspberries.",
Cordless Water Flosser,Janyx,290993208-7,Health,95.89,2026-02-05,,Realbridge,5602225839007147,693,680,133192263-1,Rechargeable water flosser for dental hygiene.,Photojam
Vanilla Bean Greek Yogurt,Buzzster,872415112-2,Food - Dairy,18.3,2025-10-31,Bañga,Mudo,5100134239148534,456,957,341301134-0,Smooth Greek yogurt infused with vanilla bean flavor.,Quinu
Portable SSD,Edgeblab,570411217-X,Storage,42.37,2025-10-22,Pasaco,Janyx,5228132485222471,128,401,811584302-4,"Fast and compact external solid state drive, 1TB.",Edgewire
Thai Basil Fried Rice,Mymm,,Food - Frozen,96.59,2025-10-31,General Emilio Aguinaldo,Devshare,67613965613791765,528,116,261139763-5,Fragrant fried rice with authentic Thai basil and veggies.,Pixonyx
Computer Monitor Stand,Meedoo,242014560-7,Office,54.03,2025-12-19,Bat Khela,Jabberbean,5002355499130305,165,768,319147431-5,Ergonomic monitor stand for improved workspace organization.,Kwideo
Whole Wheat Pita Bread,Zoovu,819310270-3,Food - Bread,85.24,2025-10-23,Zavidovo,,5038811546568267,69,659,,"Soft and fluffy whole wheat pita bread, great for wraps.",Devbug
Hand Mixer,Jetwire,,Kitchen,49.59,2025-05-02,Zheleznogorsk,Trunyx,3560873836083119,478,,526095468-8,Compact hand mixer for easy baking.,Yambee
Tailgating Set,Katz,640382189-X,Outdoor,39.18,2025-08-06,Besançon,Feedfire,3568269300279725,794,722,475183690-0,,Oyonder
Vanilla Ice Cream,,591898237-X,Food - Frozen Foods,90.27,2025-03-28,Strzyżowice,Thoughtbeat,201573848826700,864,538,603344804-9,"Creamy and rich vanilla ice cream, a classic dessert.",Jaxworks
Marinara Sauce,Centidel,169430554-6,Food - Condiments,14.88,2025-04-11,Strenči,Jaxworks,3530104490917112,828,459,477711707-3,Classic marinara sauce for all pasta dishes.,Blogtags
Apple Sauce,Mydeo,172813975-9,Food - Canned Goods,1.29,2026-02-08,Dueñas,Wikizz,30499028357679,365,1000,454583914-2,"Unsweetened apple sauce, great for snacks or baking.",Tagopia
Magnetic Curtain Tiebacks,Eadel,573176520-0,Home,96.35,,Fuhe,Twitterbeat,5169354679570629,44,262,532142171-4,Easy-to-use tiebacks for curtains or drapes.,JumpXS
Magnetic Whiteboard,Shuffledrive,694265640-2,Office,95.44,2025-06-26,Xingpinglu,Skyndu,3529600325129057,751,240,305381901-5,Reusable whiteboard for notes and reminders with magnetic backing.,
Eco-Friendly Cleaning Cloths,Kanoodle,718433829-4,Home,30.48,2025-03-01,Tudela,Skyndu,201405177058557,430,689,957608175-0,Reusable microfiber cloths for environmentally friendly cleaning.,Katz
Pepperoni Pizza Roll-Ups,Riffwire,756093684-9,Food - Frozen Foods,92.17,2025-12-11,Rochester,Midel,3530689670380073,134,631,893804861-6,"Savory pizza filled with pepperoni and cheese, ready to microwave.",Zava
Tomato Basil Pasta Sauce,Dazzlesphere,541332130-9,Food - Sauces,2.87,2025-11-20,Changliang,Browsedrive,6334015242864702,934,145,607388840-6,Rich and flavorful pasta sauce made with ripe tomatoes and basil.,Myworks
Portable Hammock Swing,,691187763-6,Outdoor,44.01,2025-10-19,Ängelholm,Ntag,3569641340350725,549,958,304137173-1,Lightweight and portable swing hammock for relaxing outdoors.,
Baked Mac and Cheese,Buzzster,296340222-8,Food - Frozen Foods,,2025-07-12,Wonosari,Gigazoom,3553861620484931,399,7,546604545-4,Creamy macaroni and cheese baked to perfection.,Jatri
Spicy Tuna Salad,Quire,624301436-3,Food - Seafood,73.56,,Bessonovka,Twimm,,919,46,030790406-7,"Ready-to-eat tuna salad with a spicy kick, perfect for sandwiches.",Plajo
Party Mini Dress,Yabox,251420227-2,Clothing - Dresses,88.89,2026-01-15,,Edgeblab,3587500223933353,819,806,220790892-5,"Eye-catching mini dress with sequins, ideal for party nights out.",Yakidoo
Honeycrisp Apples,Topicstorm,172399666-1,Food - Produce,85.25,2026-02-12,Feričanci,Oozz,3556333436967332,412,855,,"Crisp and sweet Honeycrisp apples, freshly picked.",Nlounge
Portable Bluetooth Keyboard,Gevee,611091376-6,Electronics,4.56,2025-07-20,Dolo,Wikido,3569574624495249,903,534,985636413-2,Compact keyboard for tablets and smartphones.,Dynava
Beet Salad,Leenti,528171470-8,Food - Prepared Foods,,2025-04-29,Novotroitsk,Feedfire,30168886781060,937,,612500907-6,"Ready-to-eat beet salad with dressing, great side dish.",Skyba
Kombucha Drink,Gabcube,649189405-3,Food - Beverages,48.85,2026-01-08,Hai Riêng,Realbuzz,4041378287646585,586,7,772945780-6,"Refreshing and tangy fermented tea, available in various flavors.",Chatterbridge
Apple Cinnamon Oatmeal,Yodoo,647001392-9,Food - Breakfast,9.7,2025-12-04,Poja Nae,Tagfeed,,215,68,305754935-7,Warm oatmeal flavored with apple and cinnamon.,Vidoo
Red Lentil Pasta,Meembee,,Food - Pasta,75.68,2025-01-17,Pasto,,67093432172383129,637,45,986857511-7,,Linkbuzz
Beef Stroganoff Meal Kit,,133284596-7,Food - Frozen Meals,12.76,2025-04-17,Rungis,Photojam,337941104081608,334,778,408716072-6,,Skimia
Wireless Earbud Silicone Covers,Oyoba,402034713-1,Accessories,,2025-09-12,,Mita,3557057295138284,773,322,335060241-X,,Aibox
LED Desk Light,Youopia,269454559-9,Home,62.96,2026-02-06,San Carlos,Photobug,340593643379079,535,796,735708780-8,Adjustable LED desk light with brightness settings.,Devpoint
Pet Grooming Kit,Browsezoom,,Pets,,2026-01-23,Yangi-Nishon Shahri,Brainverse,201949658242875,596,716,766235698-1,Complete grooming kit for dogs and cats.,Tagpad
Low-Fat Cottage Cheese,Ozu,818415511-5,Food - Dairy,,2025-03-11,,Realcube,676380017888076123,279,16,243489011-3,"Creamy cottage cheese, perfect for healthy snacking.",Zoomcast
Memory Foam Mattress Topper,,265283865-2,Home,67.18,2025-12-26,Paris 17,Twitterbridge,503847317972380453,908,,904926055-1,3-inch memory foam mattress topper for added comfort.,Geba
Sunflower Seeds,Skimia,231137979-8,Food - Nuts,91.88,2025-12-11,Kohtla-Järve,Feedspan,30202464573936,720,657,,Salted sunflower seeds perfect for snacking.,Yombu
Travel Orthopedic Pillow,,758816026-8,Travel,2.59,2025-09-15,Vostryakovo,,3535484857831071,408,472,580951354-9,Supportive pillow that provides comfort while traveling.,Edgepulse
Portable Air Pump,Reallinks,133283307-1,Outdoor,67.13,2025-01-25,Sastöbe,Dabtype,5100134758406412,721,805,440618133-4,Compact pump ideal for inflating sports equipment or rafts.,Chatterbridge
Automatic Pet Feeder,Izio,536341853-3,Pets,,2025-03-08,Hayang,Blogpad,6767738968935523,260,726,445121407-6,Programmable pet feeder for scheduled meals.,
Creamy Tomato Basil Soup,Camimbo,204112680-9,Food - Canned Goods,,2026-02-15,Huzhuang,Eare,201662170718609,36,455,653996910-4,"Rich and creamy tomato basil soup, perfect with a grilled cheese.",Buzzdog
Sweet Pea Hummus,Vimbo,599788958-0,Food - Dips,87.2,2025-10-11,,Reallinks,,581,890,934168539-7,,
Buffalo Sauce,Teklist,121254906-6,Food - Condiments,87.5,2025-08-15,Qintong,Thoughtmix,,277,834,219752097-0,Spicy buffalo sauce ideal for wings or dipping.,Edgewire
Granola,Oloo,012693093-7,Food - Breakfast,33.34,2025-06-08,Shimen,Skilith,5100133867437466,453,491,170355425-6,Crunchy and flavorful mix of oats and honey.,
Cat Tree with Scratching Posts,Realfire,173207644-8,Pets,84.38,2026-01-18,,Ailane,3589352442143291,885,,434737443-7,Multi-level cat tree for play and scratching.,Realcube
Chocolate Dipped Fruit,Jatri,760073524-5,Food - Snacks,18.67,2026-01-21,Xinhua,Devshare,3557687561725909,623,558,715506209-X,"Fruits dipped in rich chocolate, perfect for desserts.",Jetwire
