Name,Tag Color,EULA,Use Default EULA,Require Acceptance,Alert on Response,Category Type,Send Checkin Email,Notes
Frozen Asian Meals,#af347f,,true,true,true,accessory,false,contextually-based
Tank Tops,#3c120e,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",true,false,false,license,true,Networked
Health & Wellness Tools,,,false,false,false,asset,true,Managed
Health & Wellness Tools,#c66c5d,,false,false,false,asset,false,capacity
Pet Accessories,#627e35,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",true,true,false,consumable,true,Organic
Savory Nuts,,,false,false,true,asset,true,algorithm
Supplements,#d9585c,,true,false,true,accessory,false,demand-driven
Home Footwear,#a556d3,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",true,true,false,component,false,Triple-buffered
Wellness & Relaxation,#123774,,false,false,false,component,true,Operative
Breakfast Cereals,#e90eb5,,true,false,false,consumable,false,hybrid
