Name,Model Number,Minimum Amount,Manufacturer,Category,Require Serial,Depreciation,EOL,Notes,Fieldset,Requestable
Samsung B7610 OmniaPRO,705486546-4,235,DabZ,Food - Baking,true,accumsan tellus nisi eu orci,168,moratorium,Mobile Devices,false
BQ Aquaris X2 Pro,791479099-0,,Blognation,Audio,false,lacus,,Proactive,Laptops and Desktops,true
Acer Liquid Z410,515747007-X,156,Blogtags,Food - Household,true,dis parturient montes nascetur ridiculus,107,Persevering,Laptops and Desktops,true
Nokia C2 Tava,693447883-5,167,Aibox,Office,true,proin,211,task-force,Laptops and Desktops,true
Samsung Galaxy A5 (2016),425061362-3,,Yabox,Food - Condiments,true,quisque porta volutpat erat,216,Inverse,Laptops and Desktops,true
Mitsubishi Trium Astral,229194205-0,302,Tavu,Food - Condiments,false,,201,Cross-platform,Laptops and Desktops,false
VK Mobile VK4100,770452713-4,363,Wordware,Toys,true,quis lectus,68,value-added,Laptops and Desktops,false
HTC One M8s,087261677-0,203,,Food - Breakfast,false,in,,encryption,Laptops and Desktops,false
Motorola Moto C Plus,922342741-X,57,Cogibox,Kitchen,false,mauris viverra diam vitae quam,197,,Laptops and Desktops,false
Asus Transformer Pad Infinity 700 3G,540871422-5,465,Devpulse,Food - Frozen Foods,false,curabitur,115,leverage,Laptops and Desktops,false
Maxon MX-6805,468840967-2,236,Dynazzy,Art Supplies,false,aenean sit amet justo morbi,101,Triple-buffered,Laptops and Desktops,true
Xiaomi Mi Mix 2S,620991771-2,350,Vimbo,Food - Pasta,false,viverra pede ac,95,functionalities,Mobile Devices,false
BenQ M315,806520305-1,402,Skiba,Garden,true,mi,127,Fundamental,Mobile Devices,true
Intex Aqua GenX,954694111-5,43,Gigazoom,Food - Dairy,false,blandit mi in porttitor,7,explicit,,false
Motorola Z6w,892335093-1,184,Pixoboo,Accessories,true,amet,216,Progressive,Laptops and Desktops,false
i-mobile TV 620,452858278-3,396,Trilia,Health,false,dapibus duis at velit eu,72,Seamless,Mobile Devices,false
Lenovo Z6 Youth,492252274-3,271,Yata,Food - Condiments,true,suscipit nulla elit ac nulla,13,contextually-based,Mobile Devices,false
Pantech Vega No 6,495200788-X,223,Oyoloo,Kitchen,true,cras non velit nec nisi,183,Reverse-engineered,Laptops and Desktops,false
Philips X606,528483265-5,184,Dynazzy,Kitchen,true,at turpis a pede posuere,,orchestration,Mobile Devices,false
ZTE Axon 7,657503016-5,250,Thoughtstorm,Clothing - Tops,true,,208,approach,Laptops and Desktops,false
alcatel OT Easy db,093330356-4,,Yacero,Food - Condiments,false,ligula nec sem duis aliquam,,framework,Mobile Devices,false
Plum Sync 5.0,812215161-2,424,Edgewire,Kitchen,true,primis in,207,Business-focused,Mobile Devices,false
Celkon C449,268272867-7,37,Wordify,Outdoor,true,curae donec,117,,Laptops and Desktops,true
ZTE Grand S Flex,545139026-6,473,Blogtag,Beauty,true,in congue etiam,64,User-friendly,Mobile Devices,true
Lenovo A6000 Plus,347814383-7,298,Janyx,Health,false,eleifend donec ut dolor,179,,Laptops and Desktops,true
Samsung S7230E Wave 723,650468840-0,400,Youopia,Outdoor,false,purus sit amet,188,Realigned,Mobile Devices,true
Samsung D720,568815243-5,488,Topicblab,Kitchen,true,leo,87,well-modulated,Laptops and Desktops,true
LG G1700,187791117-8,26,Rooxo,Outdoor,true,rhoncus,47,,Mobile Devices,true
Xiaomi Redmi Note 7,032275240-X,402,Oyoyo,Food - Prepared Foods,true,orci luctus et,186,systemic,Mobile Devices,false
HTC Smart,550554329-4,355,Blogtag,Food - Beverages,true,vestibulum velit,3,artificial intelligence,Mobile Devices,false
Orange Atlanta,745310086-0,151,,Photography,true,volutpat eleifend donec ut,25,cohesive,Mobile Devices,true
Sagem my220x,290501977-8,295,Centidel,Food - Grains,true,nullam sit amet turpis,,attitude,Laptops and Desktops,false
LG Tribute,581016352-1,397,,Fitness,true,,106,Automated,Laptops and Desktops,false
Vodafone Smart Tab 10,060920969-8,372,Meeveo,Food - Prepared Foods,false,cubilia curae duis faucibus,70,hardware,Mobile Devices,false
Sagem my400V,936567952-4,,Lajo,Fitness,false,morbi non quam,12,,,true
Sony Ericsson Aspen,593487503-5,,Realcube,Kitchen,true,ultrices libero non mattis,,needs-based,,true
Sonim XP3.20 Quest,907650566-7,15,Tagopia,Clothing - Bottoms,true,est,3,Reduced,Mobile Devices,true
Samsung U800 Soul b,312456259-3,213,Wordpedia,Travel,true,curabitur in libero ut,55,grid-enabled,Laptops and Desktops,false
Samsung Galaxy Grand I9080,581016292-4,459,Realcube,Home,true,metus sapien ut nunc vestibulum,24,neural-net,Mobile Devices,true
Cat S40,705080817-2,95,Kamba,Food - Frozen Foods,true,amet cursus id turpis,224,Stand-alone,Mobile Devices,false
