Name,Tag Color,Address,Address 2,City,State,Country,Zip,Phone,Fax,Email,Contact,Notes,URL
Youfeed,#22780d,Frankfurter Straße 44,4th Floor,Stamford,,US,06905,203-853-0179,859-810-1219,ohutten0@biglobe.ne.jp,Ophelie Hutten,Adaptive,http://about.me/maecenas/pulvinar/lobortis/est/phasellus/sit/amet.aspx
Fiveclub,#925b5d,Trg bana Josipa Jelačića 10,Room 271,York,PA,,17405,,949-133-2152,dsawer1@blogtalkradio.com,Denna Sawer,portal,https://a8.net/est/et/tempus/semper.jsp
Topicstorm,#fcdb0e,223 S MAIN,Suite 27,Spokane,WA,US,99215,509-747-4809,772-744-8021,bhuygens2@is.gd,Benny Huygens,internet solution,
Yozio,#b9d455,115 W. 6TH ST.,6th Floor,Denton,,US,76210,940-141-1067,702-652-9850,fhaggus3@shutterfly.com,Freeland Haggus,Cloned,http://army.mil/ligula/vehicula/consequat/morbi/a/ipsum/integer.js
Innojam,,73 AVENUE DES CHAMPS ELYSEES,10th Floor,Arlington,VA,US,22234,571-378-1169,831-395-4565,gdoudny4@ezinearticles.com,Goober Doudny,Grass-roots,https://creativecommons.org/sapien/urna/pretium.html
Gigaclub,#585b9b,3731 WILSHIRE BLVD  STE 1000,4th Floor,Buffalo,NY,US,14233,716-883-6714,504-178-3300,knoods5@ihg.com,Krista Noods,static,
Skiptube,#97c745,"Schupstraat, 18-20",Apt 307,Roanoke,VA,US,24034,540-865-0664,865-783-8253,echristofides6@ucoz.ru,,time-frame,https://shutterfly.com/primis.xml
Browsezoom,#4bf5bd,Kastanienhöhe 1,Apt 284,Baltimore,MD,US,21229,410-961-9226,865-836-0428,aoffa7@paginegialle.it,Aarika Offa,methodology,http://tinyurl.com/quisque/ut/erat.html
Meevee,,P.O. BOX 128,PO Box 12365,Lake Worth,,US,33462,561-770-3428,805-635-9606,dcastilla8@people.com.cn,Donall Castilla,Adaptive,http://nature.com/nulla.aspx
Flashpoint,,255 2ND AVE SOUTH,7th Floor,Charlotte,,US,28284,704-300-9748,971-933-2555,abellinger9@nydailynews.com,Alfons Bellinger,,https://etsy.com/risus/dapibus/augue/vel/accumsan.png
