Name,Manufacturer,Serial Number,Category,Purchase Cost,Purchase Date,Location,Company,Order Number,Quantity,Min Qty,Model Number,Notes,Supplier
Honey-Balsamic Vinaigrette,Youfeed,967363825-X,Food - Dressing,45.45,,Boise,Quatz,6390808597645853,613,617,449760012-2,A sweet and tangy vinaigrette dressing for salads.,Skippad
Organic Coconut Flakes,Aibox,018014925-3,Food - Baking,52.46,2025-11-22,Chengxi,Trilia,372301607813591,784,227,181527432-8,Unsweetened coconut flakes for baking and snacking.,Tagtune
Magnetic Curtain Tiebacks,Ozu,898942621-9,Home,23.7,2025-06-08,,Rhynyx,3544615354768162,62,471,812053012-8,Easy-to-use tiebacks for curtains or drapes.,Mynte
Almond Butter Crunch Bar,,,Food - Snacks,70.46,2026-02-06,Cilampuyang,Fliptune,5048373744227376,260,431,291983419-3,,Skyble
Frozen Acai Bowl,Twiyo,444745577-3,Food - Frozen Foods,86.12,2026-01-31,Ranong,Divavu,502060561227882019,461,,496619509-8,Healthy frozen acai bowl with toppings.,Twinder
Spicy Thai Chili Sauce,Avavee,,Food - Sauces,61.56,2025-10-20,Nishio,Tagfeed,3582380264266301,915,174,369746610-0,A sweet and spicy sauce for dipping or cooking.,
Wireless Charging Pad,Skidoo,,Accessories,57.11,2025-09-05,Rivière-du-Loup,Quinu,372301145237733,302,938,666370068-5,Sleek wireless charging pad for smartphones.,Geba
Silicone Wine Glasses,,789193327-8,Outdoor,,2025-09-08,Telsiai,Livetube,3546090096481615,45,295,047255255-4,Durable and shatterproof silicone glasses for outdoor use.,Realblab
Faux Fur Coat,Livetube,784639175-5,Clothing - Coats,26.62,2025-12-13,,Babbleopia,3560484321434922,198,636,613192402-3,A luxurious faux fur coat that adds glamour to any outfit.,Photobean
Portable Air Conditioner,DabZ,255769048-1,Home Appliances,60.5,2025-10-05,Laozhuang,DabZ,3583336272300648,417,559,711117036-9,,Oozz
Scent Diffuser Oil,Voonix,552949842-6,Home,47.81,2025-04-14,Marseille,Skyvu,,621,,024713766-9,Essential oil blends for a soothing atmosphere in your home.,
Pet Food Storage Container,Trudeo,267661197-6,Pets,44.27,2025-05-30,Jinxiang,Gigashots,5602219384769195663,985,359,651115376-2,Airtight container to keep pet food fresh.,Gabtune
Mango Sticky Rice Dessert,Aimbo,589449997-6,Food - Frozen Desserts,41.15,2025-06-09,Chuoyuan,Blogtags,5602217062009478,114,12,933157215-8,Sweetened sticky rice served with fresh mango and coconut sauce.,Zoombeat
Chocolate Chip Pancake Mix,Demimbu,830600482-5,Food - Bakery,44.07,2025-08-09,La Unión,Mydeo,374283821162559,998,,091045625-9,Easy-to-make pancake mix with chocolate chips included.,Skimia
Electric Toothbrush Holder,Realfire,,Health,37.66,2025-07-22,Invermere,Babbleopia,5422953542155584,788,182,938516668-9,Sanitary holder that ensures your toothbrush stays clean.,Photolist
Peach Yogurt,Twitterwire,,Food - Dairy,98.35,2025-11-13,Ibaan,Roombo,4913396521168849,569,,820085632-1,Creamy peach-flavored yogurt with real fruit.,Shufflester
Wireless Charging Station,,362446250-4,Electronics,,2025-03-15,La Laguna,Centizu,3583753688040404,859,796,,Charge multiple devices with this sleek charging station.,Trudeo
Athletic Compression Tights,Jayo,013549567-9,Clothing - Activewear,34.82,2025-02-18,Kauditan,Layo,5602214050058328,181,64,377477721-7,High-performance compression tights designed for optimal support and comfort.,Blogtag
Water-Resistant Bluetooth Speaker,Divavu,841588879-1,Audio,3.39,,Benghazi,Meezzy,3586009022085614,597,320,,Durable speaker designed for outdoor use with water resistance.,Feedmix
Fitness Jump Rope,Yata,696651166-8,Fitness,79.39,2025-09-28,Ōme,Devpoint,3563905798808153,628,,928071213-6,Durable jump rope for cardio workouts.,Teklist
Oven Mitts with Pocket,Skiptube,083336296-8,Kitchen,,2025-10-19,Linamon,Layo,5007668976578951,327,390,868462966-3,Silicone oven mitts designed for safe cooking and baking.,Omba
