Name,Category,Location,Supplier,Company,Quantity,Minimum Quantity,Model Number,Item Number,Notes,Manufacturer,Purchase Date,Purchase Cost,Order Number
USB Desk Fan,Home,Norrtälje,Roomm,Topdrive,83,79,065188025-4,286881413-1,Compact USB fan for personal cooling.,Twitterworks,2025-09-26,47.29,071106250
Adjustable Window Blind,Home,Sainte-Geneviève-des-Bois,Photobug,Oyonder,37,40,127424843-4,737951210-2,Customizable window cover for light control and privacy.,Zoovu,,34.34,075906951
Chino Shorts,Clothing - Bottoms,Colatina,Lazz,Gabtype,25,17,,902127036-6,Classic chino shorts in a versatile color for summer adventures.,Mybuzz,,,065302895
Chocolate Hazelnut Granola,Food - Cereal,Bobigny,Cogidoo,Photolist,96,26,435450898-2,919840745-7,Crunchy granola with chocolate and hazelnuts for breakfast.,,2025-03-28,94.19,041211298
Pressure Cooker,Kitchen,Na Chueak,Wordpedia,Eayo,54,59,219879153-6,433448540-5,Instant pressure cooker with multiple cooking settings.,Dynabox,2026-01-26,16.99,072406768
Roasted Garlic Mashed Potatoes,Food - Frozen Foods,Lutian,Plajo,Thoughtstorm,96,98,394934462-4,775167465-2,Creamy mashed potatoes infused with roasted garlic flavor.,,2024-12-30,65.01,113114647
Electric Kettle,Kitchen,Waipare,Dynabox,Trilia,21,77,,,Rapid boil electric kettle with temperature control.,Ozu,2026-02-15,49.79,102100918
Pet Hair Removal Brush,Pets,Wanfa,,Yoveo,11,31,797071829-9,660245925-2,Effective brush for removing loose hair from pets.,Twitterwire,2025-04-18,70.64,044205146
Frozen Mixed Berries,Food - Frozen Foods,Correntina,Edgeify,Katz,12,30,332550772-7,121830131-7,"A mix of strawberries, blueberries, and raspberries.",Youspan,2025-03-19,,071117760
Frozen Mixed Berries,Food - Frozen Foods,Benito Juarez,Talane,Tagcat,11,31,,143589383-2,"A mix of strawberries, blueberries, and raspberries.",Gabspot,2025-08-02,81.39,072414187
Roasted Garlic Pasta Sauce,Food - Sauces,Dangcalan,Dabfeed,Miboo,23,5,565415843-0,479013621-3,A flavorful pasta sauce made with roasted garlic.,Skilith,2025-02-16,29.15,091201258
Lightweight Workout Tank,Clothing - Activewear,Dolores,Divavu,Babbleblab,92,89,474894449-8,616023525-7,Breathable tank top perfect for workouts or casual wear.,Thoughtsphere,2025-09-16,81.06,303188111
Scented Candle Set,Home,Hongor,Youopia,Plajo,69,11,,174681347-4,Set of soothing scented candles for relaxation and ambiance.,Pixonyx,2026-02-11,77.73,065300020
Avocado Lime Dressing,Food - Condiments,Jiquilillo,Quimba,Tambee,11,37,278962453-4,841530286-X,,Zoombox,2025-02-28,,021308176
Thermostatic Shower Valve Kit,Bathroom,Duofudu,Jabberbean,Zooveo,75,70,913984094-8,494675038-X,Regulate water temperature for safe and comfortable showers.,,2025-11-18,,061104877
Garlic Parmesan Wings,Food - Frozen Foods,Vale de Vila,Yacero,Tavu,53,39,458325639-6,358804422-1,Frozen chicken wings with garlic parmesan sauce.,Skynoodle,2025-07-31,74.06,091210922
Tandoori Chicken Skewers,Food - Meat,Passos,Flipopia,Zazio,37,61,152836704-9,974241913-2,Marinated chicken skewers infused with traditional tandoori spices.,Eadel,2025-12-07,49.32,
Leather Biker Jacket,Clothing - Outerwear,Pitai,Brainsphere,Shufflebeat,87,67,,523884516-2,Stylish black leather jacket featuring a zip-up front and multiple pockets.,Mudo,2025-08-03,53.07,075906003
Collapsible Water Bottle,Fitness,Viimsi,,Blogtag,57,24,201815850-3,888364072-1,Space-saving collapsible bottle for outdoor activities.,Wikibox,2025-11-20,48.67,051504623
Chipotle Lime Salsa,Food - Condiments,Huaihua,,Youopia,44,54,804020572-7,705266966-8,Spicy salsa with chipotle and lime for a zesty kick.,,2025-08-20,8.51,221380114
Instant Read Meat Thermometer,Kitchen,Shakīso,Realblab,Trunyx,25,1,239494259-2,557180217-0,Fast and accurate thermometer for grilling and cooking.,,2025-12-04,9.09,083908307
Beef Tacos,Food - Meat,Trollhättan,Thoughtstorm,Buzzbean,53,23,042249706-1,034634680-0,"Pre-seasoned beef mix for delicious tacos, just heat and serve.",Quimm,2025-01-17,18.1,062201892
Comfortable Jogger Pants,Clothing - Bottoms,,Meevee,Edgepulse,3,1,206491016-6,311634144-3,"Relaxed fit joggers made from soft fleece, ideal for lounging or workouts.",Skidoo,,99.75,084309015
Foam Roller for Muscle Recovery,Fitness,Karlstad,Jabbercube,Flashdog,24,22,735180656-X,822089660-4,,Zoombox,,64.94,071917232
Peanut Butter Granola,Food - Breakfast,Ciudad Tecún Umán,Edgeify,BlogXS,68,89,210139969-5,399196243-8,Crunchy granola full of peanut butter flavor and oats.,Realfire,,51.07,226070555
Crispy Kale Chips,Food - Snacks,Huamu,Zoonder,Brainlounge,22,26,758964976-7,891668923-6,"Baked kale chips seasoned for a healthy, crunchy snack.",Skipstorm,2024-12-28,36.58,211370257
Frozen Fruit Medley,Food - Frozen Foods,San Alejandro,Photobug,Kanoodle,23,16,009964168-2,736242379-9,"A mix of strawberries, blueberries, and raspberries, perfect for smoothies.",Quimba,2025-08-22,9.65,
Cranberry Almond Granola,Food - Breakfast,,Zava,Eadel,35,36,,619838099-8,"Crunchy granola with oats, almonds, and dried cranberries.",,,51.78,104101465
Cranberry Juice,Food - Beverages,,Trilith,Kayveo,51,80,501124766-X,271428721-2,,,2025-08-14,2.3,101902052
BBQ Lentil Chips,Food - Snacks,Hưng Yên,,Zoomdog,81,46,372368172-7,960434588-5,,Realcube,2025-10-17,57.5,
Robot Vacuum Cleaner,Home Appliances,Melenki,Flashdog,Meetz,73,34,,401213568-6,Smart robotic vacuum for automatic cleaning.,,2026-02-17,83.46,043309975
Over-The-Door Shoe Organizer,Home,Huangnan,Babbleopia,Quire,96,68,577129041-6,298217832-X,Space-saving shoe organizer for tight spaces.,Riffpedia,2025-11-24,95.01,086506955
Apple Cinnamon Breakfast Muffins,Food - Bakery,Las Tejeras,Kayveo,Jabberbean,85,100,424041148-3,510880177-7,Delicious muffins filled with apples and a hint of cinnamon for breakfast.,Tagopia,2026-01-30,49.02,271189491
Chia Seed Pudding,Food - Snacks,Cassilândia,Voonyx,Brainbox,7,88,561528021-2,046875238-2,"Nutritious chia seed pudding in vanilla flavor, ready to eat.",Meezzy,2025-07-14,81.78,061120217
